Student ID,Age,Gender,Academic Performance (GPA),Study Hours Per Week,Social Media Usage (Hours per day),Sleep Duration (Hours per night),Physical Exercise (Hours per week),Family Support,Financial Stress,Peer Pressure,Relationship Stress,Mental Stress Level,Counseling Attendance,Diet Quality,Stress Coping Mechanisms,Cognitive Distortions,Family Mental Health History,Medical Condition,Substance Use
161-68-2043,22,Female,2.78,20.0,6.8,7.0,3.6,5,1,5,3,5,No,2,"Journaling, Family Interaction",5,No,No,4
438-56-6737,19,Male,2.86,13.0,5.3,5.4,2.8,4,3,4,2,6,Yes,2,"Meditation, Exercise",1,No,No,2
489-39-4380,18,Female,3.21,0.0,1.0,6.3,0.4,2,5,4,1,7,No,1,"Isolation, Overthinking",2,Yes,No,4
375-79-2097,24,Female,2.99,25.0,6.1,7.2,2.8,4,5,5,2,6,No,5,"Exercise, Meditation",4,Yes,No,2
861-60-5151,21,Agender,2.23,43.0,2.0,6.4,4.8,5,1,3,5,4,Yes,5,"Journaling, Exercise",4,Yes,No,5
629-99-0767,21,Male,3.09,42.0,3.2,6.7,3.9,5,4,1,3,5,No,3,"Journaling, Family Interaction",2,No,Yes,2
115-75-7195,18,Agender,3.21,20.0,4.5,6.2,4.5,5,2,2,2,4,No,3,"Exercise, Family Interaction",4,Yes,Yes,4
589-36-1147,20,Male,3.18,19.0,8.0,5.0,2.0,1,4,1,2,6,Yes,3,"Exercise, Journaling",2,Yes,Yes,3
517-61-7254,21,Female,3.44,30.0,10.0,7.2,7.5,2,4,2,5,7,Yes,1,"Substance Use, Overthinking",1,No,Yes,1
373-92-3214,19,Female,3.32,15.0,5.2,8.9,0.5,1,4,2,1,6,No,2,"Meditation, Journaling",2,No,No,1
148-22-9008,22,Female,3.13,28.0,3.6,6.8,5.5,3,1,3,2,4,No,5,"Journaling, Exercise",5,Yes,No,3
270-48-3167,20,Male,2.86,33.0,5.1,7.1,7.5,2,1,5,5,6,No,5,"Family Interaction, Exercise",5,No,Yes,1
594-28-4204,20,Bigender,2.07,37.0,5.8,7.6,5.4,4,2,1,1,4,No,2,"Journaling, Meditation",3,Yes,No,5
631-14-1769,20,Male,3.11,24.0,3.4,5.3,3.4,5,4,5,1,5,No,5,"Meditation, Family Interaction",4,Yes,Yes,5
832-04-3592,25,Male,3.0,23.0,7.6,8.8,2.4,3,1,4,3,6,Yes,2,"Journaling, Family Interaction",4,No,No,4
810-52-2018,21,Female,3.04,16.0,4.5,7.0,7.1,2,2,3,5,7,Yes,1,"Isolation, Substance Use",2,Yes,No,4
230-07-5794,19,Female,2.26,17.0,5.0,8.8,0.0,1,2,3,1,6,No,1,"Exercise, Meditation",4,Yes,Yes,2
777-52-9937,23,Female,2.36,23.0,5.3,5.9,1.1,5,4,4,3,6,No,1,"Family Interaction, Journaling",5,Yes,Yes,4
505-69-0221,19,Female,3.43,29.0,4.8,9.0,2.8,1,3,1,4,6,No,2,"Journaling, Exercise",1,Yes,No,5
204-29-1694,21,Male,2.88,34.0,5.7,7.7,7.7,2,4,4,5,8,No,2,"Substance Use, Isolation",2,Yes,Yes,4
535-17-9130,18,Male,3.24,17.0,2.8,7.5,5.1,2,3,1,4,5,Yes,4,"Meditation, Journaling",4,No,Yes,1
403-92-9632,18,Male,2.91,40.0,2.9,7.1,1.1,3,2,2,1,4,No,5,"Journaling, Exercise",5,Yes,No,2
295-62-4300,21,Male,2.91,22.0,1.8,6.5,3.1,4,1,3,5,5,No,5,"Meditation, Exercise",3,Yes,No,2
408-46-2153,22,Male,3.37,25.0,4.9,8.2,2.2,1,5,1,3,6,Yes,4,"Journaling, Meditation",4,No,No,5
292-85-0963,21,Male,2.64,18.0,5.6,7.0,1.9,3,2,5,1,5,No,4,"Exercise, Meditation",1,Yes,Yes,4
831-71-1472,21,Male,2.95,1.0,4.9,4.4,6.9,5,1,5,5,6,Yes,1,"Journaling, Meditation",1,Yes,No,1
742-17-8756,20,Male,2.67,34.0,7.3,5.5,0.0,4,2,3,5,5,No,4,"Family Interaction, Exercise",4,No,No,4
209-21-5372,18,Male,2.68,32.0,4.0,6.6,8.8,3,4,4,4,7,No,2,"Excessive Screen Time, Substance Use",4,No,Yes,3
288-28-5340,20,Male,2.75,22.0,5.3,7.2,6.5,1,3,4,1,6,Yes,3,"Exercise, Journaling",5,No,No,4
532-53-7106,20,Male,3.01,26.0,1.8,6.7,7.3,2,2,1,3,5,No,2,"Exercise, Journaling",4,Yes,No,5
407-39-5818,23,Genderfluid,2.66,30.0,3.2,8.3,2.6,5,1,4,3,4,No,4,"Exercise, Journaling",3,No,Yes,4
740-68-1900,22,Female,3.53,9.0,5.4,4.5,3.6,1,4,3,1,5,No,5,"Exercise, Meditation",5,No,No,2
100-42-4509,18,Male,2.45,20.0,5.7,7.0,0.0,4,5,1,1,5,Yes,2,"Meditation, Journaling",2,Yes,No,1
777-29-7370,22,Female,2.81,33.0,3.4,4.6,2.4,4,4,2,2,4,Yes,5,"Exercise, Meditation",3,Yes,No,5
117-12-6960,20,Agender,2.68,12.0,3.9,7.7,5.5,2,3,4,4,7,No,2,"Substance Use, Overthinking",5,Yes,Yes,3
866-68-4346,20,Female,3.62,28.0,1.0,6.7,7.9,2,4,4,1,5,No,5,"Exercise, Journaling",5,Yes,No,1
687-83-4719,22,Male,3.0,11.0,3.3,7.3,0.7,5,5,1,1,5,No,2,"Family Interaction, Meditation",1,Yes,No,1
736-72-0270,23,Female,3.42,30.0,5.8,5.8,2.9,5,1,5,2,4,No,5,"Exercise, Family Interaction",5,No,No,2
185-53-6544,23,Male,2.16,25.0,5.2,8.3,3.5,2,2,4,2,6,No,3,"Exercise, Journaling",3,Yes,Yes,2
483-60-4480,19,Female,3.03,9.0,5.0,8.1,0.0,2,3,3,5,7,Yes,1,"Substance Use, Overthinking",4,No,No,2
292-04-4209,20,Female,3.34,37.0,4.1,7.5,5.8,4,5,4,3,7,Yes,2,"Substance Use, Excessive Screen Time",3,No,Yes,5
383-42-5117,22,Male,2.94,18.0,4.0,6.6,1.8,2,3,2,4,6,No,3,"Family Interaction, Meditation",2,No,Yes,4
588-56-7179,23,Female,3.43,17.0,2.7,7.5,3.4,3,4,4,5,8,No,1,"Excessive Screen Time, Isolation",5,Yes,Yes,1
339-20-6030,20,Female,2.64,27.0,5.4,6.0,2.6,1,3,5,1,7,No,2,"Excessive Screen Time, Isolation",5,No,No,4
691-94-2434,21,Male,3.6,36.0,4.8,7.8,1.6,2,5,4,2,7,No,3,"Overthinking, Excessive Screen Time",5,No,No,4
683-65-1968,19,Male,4.0,15.0,5.0,8.8,4.0,5,2,1,3,4,No,3,"Meditation, Exercise",5,No,Yes,2
387-67-7202,19,Female,2.72,26.0,2.9,8.1,3.4,3,2,4,5,6,Yes,3,"Family Interaction, Exercise",1,No,Yes,4
209-32-8628,23,Male,2.68,29.0,0.0,5.9,2.9,5,3,5,3,5,No,4,"Exercise, Meditation",1,No,Yes,1
850-13-5324,24,Male,3.63,32.0,6.2,7.2,1.8,3,1,1,2,3,No,5,"Family Interaction, Meditation",4,No,Yes,1
178-03-0028,21,Female,3.69,27.0,3.0,5.2,5.0,2,3,3,5,7,Yes,1,"Substance Use, Overthinking",5,Yes,No,3
800-36-7705,23,Female,2.64,21.0,2.3,7.5,9.0,1,4,1,5,6,No,5,"Exercise, Journaling",2,Yes,No,5
367-56-4708,22,Female,2.69,17.0,5.4,7.3,4.4,5,2,2,3,4,Yes,5,"Journaling, Meditation",4,No,No,4
297-69-4479,20,Male,2.76,26.0,3.2,4.6,7.0,3,2,1,2,4,No,5,"Family Interaction, Journaling",5,No,Yes,5
592-23-4557,22,Bigender,2.23,14.0,6.1,5.4,0.0,4,2,3,1,4,No,3,"Family Interaction, Journaling",1,Yes,Yes,5
252-89-3971,24,Male,2.44,0.0,5.2,6.5,4.5,2,1,4,5,6,No,5,"Journaling, Meditation",2,Yes,Yes,5
811-27-2129,21,Male,2.4,29.0,5.4,6.4,0.7,1,1,1,1,4,No,4,"Meditation, Journaling",4,Yes,No,5
747-47-2831,24,Agender,2.52,34.0,1.3,5.3,0.0,2,5,1,2,6,No,2,"Meditation, Exercise",2,Yes,Yes,1
526-78-3751,18,Male,2.88,1.0,6.4,7.3,1.8,4,3,1,5,5,No,3,"Exercise, Meditation",5,No,No,4
481-45-3887,23,Female,3.02,15.0,4.5,7.1,7.6,1,3,1,5,7,No,1,"Excessive Screen Time, Substance Use",3,No,No,3
751-18-9499,21,Female,3.68,31.0,3.3,6.6,6.9,4,4,3,1,5,Yes,2,"Exercise, Family Interaction",2,No,Yes,5
124-71-1553,20,Male,2.4,46.0,4.3,5.9,4.7,2,2,5,4,7,Yes,2,"Isolation, Substance Use",2,No,No,3
214-58-4982,21,Agender,3.39,25.0,0.4,8.1,0.0,3,1,5,1,5,No,2,"Journaling, Meditation",1,No,No,1
474-66-6263,18,Male,2.79,18.0,4.8,8.8,3.4,2,4,1,1,4,No,5,"Meditation, Family Interaction",5,Yes,Yes,1
204-16-7799,21,Female,2.88,23.0,1.9,6.2,4.9,2,4,3,4,6,No,5,"Meditation, Journaling",2,No,Yes,2
366-05-7001,22,Female,3.24,39.0,1.3,6.1,4.5,2,1,3,2,5,Yes,3,"Journaling, Family Interaction",5,No,No,5
293-94-5530,24,Polygender,2.34,19.0,1.0,7.4,0.0,5,3,1,2,3,No,5,"Family Interaction, Exercise",1,No,Yes,2
667-21-2334,20,Female,3.09,17.0,6.2,6.4,1.3,4,2,2,5,5,Yes,5,"Meditation, Journaling",5,Yes,Yes,3
652-50-6948,19,Male,2.98,20.0,2.7,6.6,3.8,4,3,1,3,4,No,5,"Journaling, Family Interaction",1,Yes,No,4
429-54-5963,20,Bigender,3.15,15.0,7.1,7.7,5.6,4,4,2,3,5,Yes,3,"Exercise, Family Interaction",1,Yes,No,2
821-85-3152,23,Male,3.04,26.0,2.9,4.5,0.0,5,2,1,5,5,No,3,"Journaling, Meditation",4,No,No,1
767-02-0514,22,Female,4.0,41.0,0.6,8.4,3.5,3,5,2,3,6,No,4,"Meditation, Family Interaction",5,Yes,Yes,5
135-19-3886,20,Female,2.58,28.0,1.8,6.9,4.4,2,4,2,1,5,No,4,"Journaling, Meditation",3,No,Yes,3
124-45-0187,22,Female,2.63,22.0,6.5,6.3,6.5,3,3,1,1,4,Yes,4,"Journaling, Family Interaction",4,Yes,No,1
508-77-1604,21,Female,2.59,22.0,3.7,6.7,6.1,5,3,2,4,5,No,4,"Exercise, Journaling",1,No,No,4
631-57-6187,23,Male,2.62,9.0,2.9,6.8,5.7,4,3,4,4,6,No,2,"Journaling, Family Interaction",3,Yes,Yes,5
729-12-6141,20,Male,2.58,34.0,4.3,4.7,1.6,2,1,5,5,7,Yes,2,"Excessive Screen Time, Isolation",2,No,No,4
609-64-7643,20,Female,3.49,24.0,5.0,8.6,0.0,1,4,3,5,7,Yes,4,"Overthinking, Excessive Screen Time",2,No,No,4
730-87-4838,20,Male,3.61,23.0,6.2,6.8,2.8,1,2,2,5,6,No,4,"Meditation, Journaling",4,Yes,No,5
838-92-9671,18,Female,2.61,57.0,6.9,7.3,7.0,3,3,2,1,5,No,1,"Meditation, Journaling",3,Yes,Yes,5
250-73-3043,22,Male,2.48,28.0,3.3,7.9,8.2,4,3,3,3,6,No,2,"Meditation, Exercise",5,No,No,4
755-25-6365,22,Female,3.14,17.0,1.3,5.6,6.1,1,1,2,5,7,Yes,1,"Substance Use, Overthinking",3,Yes,No,3
392-82-0634,21,Female,2.62,21.0,3.2,7.4,5.3,3,2,3,5,7,No,1,"Isolation, Overthinking",4,No,No,5
553-73-9451,21,Female,3.22,36.0,4.5,6.5,5.1,5,4,1,1,3,No,5,"Exercise, Journaling",5,No,No,1
213-22-7971,18,Male,3.0,26.0,2.1,7.8,2.3,3,5,4,1,6,Yes,3,"Meditation, Exercise",5,No,No,2
620-60-6101,20,Female,2.14,11.0,2.1,4.2,3.6,3,1,4,1,5,No,2,"Family Interaction, Exercise",2,No,Yes,3
219-05-2185,20,Male,3.67,34.0,4.7,6.7,9.0,3,4,5,3,6,No,4,"Exercise, Family Interaction",3,No,Yes,5
332-05-7324,19,Male,3.8,18.0,3.9,6.1,1.2,2,5,2,5,7,Yes,4,"Substance Use, Isolation",5,No,Yes,5
138-22-1341,21,Female,2.59,44.0,4.1,7.3,8.8,3,3,5,2,6,No,3,"Journaling, Exercise",4,No,Yes,3
347-81-9759,22,Bigender,2.71,36.0,2.5,7.4,3.0,3,3,1,2,5,Yes,2,"Exercise, Family Interaction",2,Yes,Yes,2
500-75-5507,25,Female,3.04,21.0,3.5,6.0,8.0,2,2,4,5,6,No,4,"Meditation, Exercise",5,Yes,No,4
735-88-4515,21,Male,3.07,38.0,2.2,5.9,0.0,2,5,1,5,6,No,4,"Meditation, Family Interaction",3,No,No,1
830-93-7957,22,Female,3.23,26.0,5.8,6.7,5.8,5,3,1,5,4,Yes,5,"Exercise, Journaling",2,No,Yes,5
629-52-7023,21,Male,3.91,34.0,6.1,5.7,1.8,4,3,2,5,6,No,1,"Meditation, Family Interaction",3,Yes,Yes,2
400-21-6724,18,Male,2.81,30.0,0.3,7.8,0.0,1,2,1,3,5,Yes,4,"Exercise, Family Interaction",3,Yes,No,1
479-91-6861,21,Male,2.5,17.0,2.1,6.4,4.7,1,4,4,2,7,No,2,"Substance Use, Isolation",3,Yes,No,3
512-53-1330,21,Female,2.21,19.0,1.0,3.3,7.0,3,3,5,4,7,Yes,3,"Excessive Screen Time, Overthinking",2,No,Yes,5
211-15-8624,26,Female,2.53,35.0,2.7,6.4,1.5,5,1,4,2,4,No,5,"Meditation, Journaling",5,Yes,No,4
586-54-6715,21,Female,2.88,22.0,3.8,5.6,0.0,3,1,2,2,5,Yes,2,"Meditation, Exercise",1,No,No,3
163-09-3422,22,Male,3.8,21.0,1.1,4.8,3.7,1,4,4,1,6,Yes,5,"Family Interaction, Journaling",5,No,No,5
596-04-1416,21,Male,2.64,15.0,2.2,5.3,3.7,2,5,3,5,8,No,1,"Substance Use, Overthinking",2,Yes,Yes,2
638-52-2815,19,Female,3.01,29.0,2.0,6.9,5.6,4,2,5,5,6,Yes,4,"Meditation, Exercise",1,Yes,No,1
217-66-0052,23,Female,2.89,46.0,4.4,8.4,6.8,5,1,3,5,5,No,2,"Family Interaction, Meditation",1,No,Yes,1
276-11-5486,23,Female,3.49,14.0,4.1,7.2,3.8,2,1,3,1,5,No,3,"Journaling, Meditation",1,No,No,5
786-72-6825,23,Female,4.0,25.0,2.6,6.1,9.6,4,4,2,3,6,No,1,"Journaling, Family Interaction",4,No,Yes,3
618-46-7437,19,Male,2.63,39.0,4.4,7.3,4.7,5,5,1,3,6,No,1,"Family Interaction, Meditation",2,No,No,4
447-34-8357,24,Female,2.66,24.0,2.9,6.2,3.0,5,5,3,4,5,No,5,"Family Interaction, Journaling",4,No,No,2
581-07-0225,18,Female,3.42,30.0,3.5,6.0,0.0,1,4,4,3,8,No,1,"Isolation, Overthinking",1,Yes,Yes,5
470-08-9695,22,Bigender,3.24,14.0,7.3,5.4,3.2,2,1,1,3,5,No,2,"Family Interaction, Journaling",4,No,Yes,2
432-35-6566,25,Male,3.82,29.0,6.7,4.7,3.0,5,2,4,5,5,No,5,"Family Interaction, Meditation",4,Yes,No,1
840-63-7764,19,Non-binary,3.19,23.0,1.4,6.3,6.9,5,1,4,2,5,No,1,"Family Interaction, Meditation",2,No,No,4
768-78-3237,20,Non-binary,2.72,35.0,5.7,7.0,5.4,4,5,1,3,5,No,3,"Journaling, Exercise",3,No,Yes,2
102-51-9968,21,Female,3.2,37.0,5.6,6.7,0.5,1,1,1,3,5,Yes,2,"Exercise, Meditation",4,Yes,No,5
501-67-5697,20,Female,3.45,51.0,1.7,6.3,4.5,3,2,4,1,5,Yes,3,"Family Interaction, Meditation",4,Yes,No,4
819-14-2694,18,Female,3.31,31.0,5.6,5.7,6.0,1,3,2,4,6,No,3,"Meditation, Family Interaction",1,Yes,No,3
380-99-9542,21,Agender,3.15,28.0,7.1,7.5,8.6,3,1,5,1,4,Yes,5,"Meditation, Journaling",1,Yes,Yes,5
429-63-3333,19,Male,3.43,27.0,1.8,5.2,6.7,2,4,5,5,7,Yes,4,"Substance Use, Excessive Screen Time",1,No,No,2
605-97-7460,22,Female,3.48,21.0,2.2,7.7,6.3,2,3,2,2,5,No,5,"Exercise, Meditation",5,Yes,Yes,4
156-59-9054,19,Male,3.59,28.0,6.0,5.6,4.2,5,4,1,4,5,Yes,2,"Family Interaction, Journaling",4,No,No,5
567-20-0671,24,Female,3.22,22.0,4.5,5.9,5.2,2,4,4,1,6,Yes,2,"Journaling, Meditation",1,Yes,No,4
115-05-2082,19,Male,2.82,27.0,5.1,5.0,7.7,5,4,5,3,5,No,5,"Meditation, Journaling",2,Yes,No,4
648-32-3365,20,Female,2.97,38.0,4.7,6.2,0.0,1,1,4,3,6,No,4,"Meditation, Exercise",5,Yes,Yes,4
747-92-3547,23,Male,3.5,15.0,4.8,8.0,3.0,2,5,2,4,6,No,5,"Meditation, Exercise",3,Yes,No,2
430-08-1444,19,Female,2.49,36.0,1.3,7.4,1.7,1,3,4,3,7,No,2,"Substance Use, Overthinking",4,Yes,Yes,5
311-25-5374,21,Male,3.08,38.0,6.1,8.0,5.1,1,2,2,1,5,No,4,"Meditation, Family Interaction",4,Yes,No,1
508-61-1958,24,Female,2.7,24.0,6.3,7.4,7.7,2,5,1,1,6,No,2,"Journaling, Meditation",2,No,Yes,1
311-01-4979,18,Male,2.91,4.0,3.5,5.5,2.2,1,1,2,3,5,Yes,4,"Exercise, Family Interaction",3,No,Yes,2
357-60-6383,21,Male,3.54,19.0,3.9,6.4,0.0,2,4,2,3,6,No,4,"Exercise, Meditation",3,No,Yes,2
582-66-4545,22,Male,3.0,38.0,0.9,5.9,2.8,2,2,5,5,6,Yes,5,"Family Interaction, Journaling",5,No,Yes,4
857-78-9982,23,Female,2.92,25.0,5.0,8.4,6.7,2,3,4,2,5,No,5,"Family Interaction, Meditation",4,Yes,No,5
361-01-5382,19,Female,2.22,15.0,5.1,5.4,5.6,3,5,5,4,7,Yes,5,"Overthinking, Substance Use",1,Yes,No,5
655-35-0977,18,Male,3.27,20.0,3.9,7.9,5.3,1,5,3,1,6,No,4,"Meditation, Family Interaction",2,No,No,3
704-27-3229,22,Female,3.22,33.0,6.2,7.9,3.2,4,2,2,4,5,No,4,"Meditation, Family Interaction",2,No,No,3
630-45-3543,22,Male,3.98,30.0,3.3,9.0,0.2,2,1,3,5,6,No,2,"Family Interaction, Meditation",2,Yes,No,1
143-64-7699,22,Female,2.75,23.0,5.1,6.3,5.5,1,3,5,1,6,No,3,"Exercise, Family Interaction",2,No,No,3
380-01-5180,22,Female,3.01,21.0,2.0,7.7,1.5,5,2,4,5,5,Yes,5,"Meditation, Family Interaction",1,No,Yes,3
358-27-6734,20,Male,3.02,21.0,4.0,9.5,10.6,2,4,5,5,8,Yes,2,"Excessive Screen Time, Substance Use",1,No,Yes,1
763-50-9563,21,Male,3.69,16.0,3.7,6.1,5.7,2,3,4,3,7,Yes,2,"Isolation, Overthinking",5,Yes,No,1
679-91-0440,22,Male,2.85,41.0,4.5,5.0,2.3,4,5,4,4,7,Yes,1,"Isolation, Substance Use",4,Yes,Yes,3
686-76-8831,20,Female,3.04,22.0,3.3,4.5,2.2,3,2,1,4,4,No,5,"Exercise, Family Interaction",1,No,Yes,5
327-52-9753,25,Female,3.2,37.0,3.7,7.7,3.7,3,5,2,3,6,Yes,2,"Meditation, Family Interaction",5,No,No,3
469-83-1014,22,Male,2.99,40.0,5.7,4.5,3.3,2,5,5,4,8,No,1,"Overthinking, Excessive Screen Time",3,No,Yes,4
730-70-1674,19,Male,2.68,35.0,3.1,6.4,7.4,1,5,4,3,7,No,5,"Overthinking, Substance Use",4,Yes,No,4
779-26-7175,22,Female,3.0,21.0,0.8,7.3,4.6,5,1,5,1,4,No,4,"Family Interaction, Journaling",1,No,Yes,4
817-11-4511,19,Female,3.44,29.0,7.5,7.0,1.8,5,5,5,5,8,Yes,1,"Isolation, Substance Use",3,No,Yes,2
761-08-6341,23,Male,2.39,25.0,6.8,7.3,9.7,1,4,4,5,7,Yes,4,"Substance Use, Isolation",5,No,Yes,4
169-56-0960,23,Male,2.97,16.0,1.4,7.1,4.1,2,4,3,4,7,Yes,3,"Substance Use, Overthinking",1,No,No,5
616-12-8556,19,Male,2.55,28.0,5.4,8.3,6.3,5,3,2,2,4,No,3,"Journaling, Exercise",1,No,No,2
858-37-7984,23,Bigender,3.5,13.0,3.0,5.7,2.2,3,5,2,5,7,Yes,3,"Overthinking, Isolation",3,No,Yes,2
235-80-3727,22,Female,2.14,37.0,4.5,6.0,5.1,1,5,1,3,6,Yes,3,"Meditation, Family Interaction",1,Yes,Yes,4
217-43-4810,23,Female,2.62,20.0,4.6,5.9,4.9,4,2,1,2,4,No,2,"Journaling, Meditation",2,No,No,3
588-69-4170,25,Female,3.09,27.0,3.5,7.8,0.0,2,1,1,2,4,Yes,3,"Family Interaction, Exercise",1,Yes,Yes,1
224-13-7621,21,Female,3.68,28.0,2.4,7.9,10.0,1,3,2,5,7,Yes,2,"Isolation, Overthinking",4,Yes,No,3
754-33-1593,19,Genderqueer,2.87,22.0,2.6,7.3,7.9,5,5,3,5,7,No,2,"Isolation, Excessive Screen Time",3,No,No,3
202-42-0001,19,Female,2.62,31.0,2.2,8.2,2.8,2,2,2,5,5,No,5,"Exercise, Journaling",4,No,No,2
891-44-0532,19,Female,3.84,20.0,2.3,5.4,0.7,3,1,2,3,5,Yes,2,"Journaling, Exercise",5,No,Yes,2
489-83-9210,21,Male,2.18,34.0,3.9,8.8,5.0,2,3,2,2,6,Yes,2,"Journaling, Exercise",4,Yes,Yes,2
505-67-4877,22,Female,1.8,12.0,2.6,8.6,4.3,2,3,2,4,6,No,3,"Exercise, Family Interaction",2,Yes,Yes,5
490-85-9933,22,Male,3.12,26.0,5.4,7.7,5.1,3,5,3,3,7,No,2,"Overthinking, Excessive Screen Time",2,No,No,5
149-82-1193,23,Polygender,2.65,44.0,7.0,8.9,4.6,3,3,1,1,4,No,4,"Family Interaction, Exercise",4,No,Yes,1
449-71-1303,21,Female,2.39,15.0,2.8,4.8,5.5,2,2,5,5,7,No,3,"Excessive Screen Time, Overthinking",5,Yes,Yes,2
855-81-6070,24,Male,3.25,18.0,4.5,6.2,8.3,3,3,1,2,5,No,1,"Meditation, Journaling",1,Yes,No,4
538-54-0209,20,Female,3.02,30.0,5.0,5.9,5.7,1,4,1,3,6,No,3,"Family Interaction, Exercise",2,No,No,2
785-18-1267,26,Female,2.62,27.0,4.9,7.7,0.9,3,2,5,1,6,No,2,"Journaling, Family Interaction",4,Yes,No,5
315-14-3308,22,Female,2.26,29.0,4.2,5.5,8.1,3,1,2,3,4,No,4,"Family Interaction, Journaling",4,Yes,No,2
572-36-3852,19,Male,3.34,30.0,5.5,7.7,8.9,2,1,3,3,5,No,3,"Journaling, Meditation",4,Yes,No,5
192-13-3343,19,Male,3.23,31.0,5.0,8.4,13.5,1,5,3,4,7,Yes,4,"Overthinking, Isolation",1,No,No,2
247-09-1709,22,Female,2.85,36.0,1.5,7.6,0.6,4,5,1,4,6,No,1,"Exercise, Meditation",3,No,Yes,4
638-37-6479,21,Male,3.82,29.0,5.7,7.1,4.7,4,4,5,3,7,Yes,1,"Substance Use, Excessive Screen Time",5,No,Yes,1
585-40-0453,22,Female,2.36,23.0,5.8,5.6,0.0,5,1,4,1,3,Yes,5,"Exercise, Meditation",3,Yes,No,4
834-48-2185,22,Female,2.14,32.0,2.5,5.8,5.7,3,1,2,2,4,No,5,"Exercise, Meditation",5,Yes,No,5
430-98-7843,21,Female,2.55,44.0,4.1,8.3,2.4,3,1,1,2,4,No,3,"Journaling, Family Interaction",5,Yes,No,3
891-94-6731,19,Female,2.88,24.0,5.4,7.7,9.8,1,1,3,5,6,Yes,5,"Journaling, Exercise",4,No,Yes,4
792-17-2824,18,Male,3.02,15.0,3.6,6.8,1.7,4,3,5,5,6,No,4,"Exercise, Family Interaction",2,Yes,No,2
174-38-8655,20,Female,2.78,36.0,6.1,6.3,0.0,5,2,5,2,4,No,5,"Exercise, Journaling",4,No,Yes,1
307-28-5129,23,Female,3.08,24.0,8.7,4.4,2.6,1,2,1,3,5,Yes,4,"Meditation, Family Interaction",1,Yes,No,2
781-32-3795,21,Female,2.27,3.0,2.4,5.5,0.0,3,4,4,3,6,No,5,"Family Interaction, Meditation",5,Yes,Yes,2
628-54-3016,19,Male,3.62,33.0,1.2,9.1,6.3,4,3,3,4,5,No,5,"Journaling, Family Interaction",2,Yes,Yes,4
751-44-1313,21,Female,2.86,20.0,4.6,5.3,0.0,5,1,1,4,3,No,5,"Exercise, Meditation",5,No,No,1
663-29-0123,22,Male,3.46,24.0,5.4,7.0,4.1,2,1,4,5,7,No,2,"Isolation, Overthinking",5,No,No,3
667-64-2830,19,Male,3.07,28.0,3.5,8.0,0.0,4,5,5,2,7,Yes,2,"Excessive Screen Time, Substance Use",4,Yes,No,2
